_RAJ2000,_DEJ2000,Name,MassBH,E_MassBH,e_MassBH,sigma,e_sigma,MassB,e_MassB,Mass*
55.0496,-18.5803778,NGC 1407                ,460,80,40,276,2,11.74,0.09,11.6
208.2221375,-28.4892722,NGC 5328                ,480,80,200,333,2,     ,     ,11.5
54.6211792,-35.4507417,NGC 1399                ,88,92,44,315,3,11.5,0.09,11.4
350.0605167,8.2062861,NGC 7619                ,230,110,10,292,5,11.65,0.09,11.5
190.916545,11.5526911,NGC 4649                ,470,110,100,380,19,11.64,0.09,11.5
67.916075,-5.0861028,NGC 1600                ,1700,150,150,293,30,     ,     ,11.7
243.1480658,29.4847908,NGC 6086                ,370,180,110,318,2,11.69,0.09,11.5
176.00898,19.949825,NGC 3842                ,910,190,280,270,27,     ,     ,11.6
210.9113439,-33.9783006,NGC 5419                ,720,240,240,367,9,     ,     ,11.8
49.9645228,41.5735928,NGC 1277                ,1700,300,300,333,17,     ,     ,11.1
195.0337375,27.977025,NGC 4889                ,2100,1600,1610,347,5,     ,     ,11.9
